kannada,image,english,ksentence,category,saudio,kanglish,word_id,waudio,esentence,kesentence,icon
ಗಡಿಯಾರ,https://i.postimg.cc/G3qyHhB1/clock.jpg,clock,ಗಡಿಯಾರ ಸಮಯವನ್ನು ತೋರಿಸುತ್ತದೆ.,Items,https://audio.jukehost.co.uk/m0ggbLBcZ3B88nS04yfrIV3fZcxAoGOP,gadiyaara,51,https://audio.jukehost.co.uk/WjuQiSzVzaPpiL9jU7Sia0zxRYLGZyE4,gadiyaara samaya-vannu thorisutthadhe.,A clock shows us time.,https://upcdn.io/kW15bgo/raw/learnkannada/images/clock.png
ಬಟ್ಟೆ,https://i.postimg.cc/FzWdqDtK/cloth.jpg,clothes,ವರ್ಷ ಬಟ್ಟೆ ಅಂಗಡಿ ಮುಂದೆ ನಿಂತಿದ್ದಾಳೆ.,Items,https://audio.jukehost.co.uk/AMQmxfNLhjORd10XUlaBbrR6xNTkrxyc,batte,38,https://audio.jukehost.co.uk/1wlmykF7vZMytuOqfoEnLBsP0tLhg5J5,varsha batte angadi munde ninthiddaale.,Varsha is standing in front of the clothes shop.,https://upcdn.io/kW15bgo/raw/learnkannada/images/clothes.png
ಹಸು,https://i.postimg.cc/023b6GTG/cow.jpg,cow,ರಸ್ತೆಯ ಮೇಲೆ ಹಸುಗಳು ಹೋಗುತ್ತಿವೆ.,Animals,https://audio.jukehost.co.uk/ehB4iGQWbDoxgNw705nZtLa4oAQ6rS0G,hasu,6,https://audio.jukehost.co.uk/NS1f9JjAcYzmoVRh6DbRnouB7kIwQJT3,rastheya mele hasu-galu hoguttive.,cows are going on the road.,https://upcdn.io/kW15bgo/raw/learnkannada/images/cow.png
ಮೊಸಳೆ,https://i.postimg.cc/d3tZ4gxX/crocodile.jpg,crocodile,ನದಿಯ ದಡದಲ್ಲಿ ಮೊಸಳೆ ಕುಳಿತಿದೆ.,Animals,https://audio.jukehost.co.uk/Y816vB5kxhN2pntHZaJZXZqgr3g9KtYh,mosale,7,https://audio.jukehost.co.uk/JiuI12WzXPyutcusY3ZjDtE1FtMmS4D3,nadhiya dhadadhalli mosale kulithide.,A crocodile is sitting on the river bank.,https://upcdn.io/kW15bgo/raw/learnkannada/images/crocodile.png
ಕಾಗೆ,https://i.postimg.cc/MTYj0zdV/crow.jpg,crow,ಕಾಗೆ ಶನಿ ದೇವರ ವಾಹನ.,Animals,https://audio.jukehost.co.uk/l0uLBIG8lP3NoejkToFVnTovUw99RA3V,kaage,30,https://audio.jukehost.co.uk/1JXFZHSOu26LAOKmZ6gSXVgGpJCC63sQ,kaage shani devara vaahana.,Crow is the vehicle of Shani god.,https://upcdn.io/kW15bgo/raw/learnkannada/images/crow.png
ಲೋಟ,https://i.postimg.cc/dtNrStv9/cup.jpg,cup,ನಾನು ಲೋಟದಲ್ಲಿ ನೀರು ಕುಡಿಯುತ್ತೇನೆ.,Items,https://audio.jukehost.co.uk/Px1bm21cXGtMHZHk2v6dektpPmYS0pgl,lota,52,https://audio.jukehost.co.uk/kWHG5h4rU7xig4UPRVywOqQV8oZrH8W7,naanu lota-dhalli neeru kudiyutthene.,I am drinking water with a cup.,https://upcdn.io/kW15bgo/raw/learnkannada/images/cup.png
ಜಿಂಕೆ,https://i.postimg.cc/wBCzjJzj/deer.jpg,deer,ಕಾಡಿನಲ್ಲಿ ಜಿಂಕೆ ಓಡುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/ZHJBFwP45wq2E8RY4qkRi1kky6PijVCq,jinke,8,https://audio.jukehost.co.uk/JHeDVhZBQfIWIDDpydBWZ2FAmeZ5V2oF,kaadinalli jinke odutthide.,A deer is running in the forest.,https://upcdn.io/kW15bgo/raw/learnkannada/images/deer.png
ನಾಯಿ,https://i.postimg.cc/y8ZW0gKM/dog.jpg,dog,ಚಿಕ್ಕ ಮಗುವಿನ ಜೊತೆ ನಾಯಿ ಆಡುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/tbV8nndyScnHnjmHoPXTalk45iuuucub,naayi,9,https://audio.jukehost.co.uk/VuPXU2lmsj8J6Ojs3ErkU2QsTJyaTJjg,chikka magu-vina jothe naayi aadutthide.,A dog is playing with the small baby.,https://upcdn.io/kW15bgo/raw/learnkannada/images/dog.png
ಕತ್ತೆ,https://i.postimg.cc/Ssys0g94/donkey.jpg,donkey,"ಅಲ್ಲಿ ನೋಡು, ಕತ್ತೆಯ ಮೇಲೆ ಪಕ್ಷಿ ಕುಳಿತಿದೆ.",Animals,https://audio.jukehost.co.uk/53Q0nn4IVJjdFoic2pLcVjSzGik0W3CK,katthe,17,https://audio.jukehost.co.uk/jVrzwdci1aSyCB8uocLoVIGCbbAAdymD,"alli nodu, kattheya mele pakshi kulithide.","See over there, A bird is sitting on the donkey.",https://upcdn.io/kW15bgo/raw/learnkannada/images/donkey.png
ಬಾಗಿಲು,https://i.postimg.cc/1t0YpVkB/door.jpg,door,ಇದು ನಮ್ಮ ಮನೆಯ ಬಾಗಿಲು.,Items,https://audio.jukehost.co.uk/Zd7bWrEEa0MhWfd1fOinKITVtKTwx1km,baagilu,47,https://audio.jukehost.co.uk/UGSxKabrtF3Vg8YTS8qc3vuYjyVHlplS,idhu namma maneya baagilu.,This is the door to our house.,https://upcdn.io/kW15bgo/raw/learnkannada/images/door.png
ಬಾತುಕೋಳಿ,https://i.postimg.cc/43vdFDmw/duck.jpg,duck,ಕೊಳದಲ್ಲಿ ಬಾತುಕೋಳಿ ಈಜುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/20aLyKtdNrOJfr5qblMCcakKyKU6g81T,baatukoli,10,https://audio.jukehost.co.uk/4iTRt024LGRk34MImM0gNWevDUqE5hfD,koladalli baathukoli eejutthide.,A duck is swimming in the pond.,https://upcdn.io/kW15bgo/raw/learnkannada/images/duck.png
ಆನೆ,https://i.postimg.cc/50ntf85C/elephant.jpg,elephant,"ಇಲ್ಲಿ ನೋಡು, ಅಂಬಾರಿ ಹೊತ್ತು ಆನೆ ನಡೆಯುತ್ತಿದೆ.",Animals,https://audio.jukehost.co.uk/w282jxXF5E7Da1Ef7RcPmCNSTud02eLz,aane,11,https://audio.jukehost.co.uk/Rc9z9eCNGyNwuwiPqTwtYaSTBI6genLx,"illi nodu, ambaari hotthu aane nadeyutthide.","See over here, an elephant is walking carrying the chariot.",https://upcdn.io/kW15bgo/raw/learnkannada/images/elephant.png
ಹೂವು,https://i.postimg.cc/FH2P8xmG/flower.jpg,flower,ಪುಟ್ಟಿ ಕೈಯಲ್ಲಿ ಹೂವು ಹಿಡಿದುಕೊಂಡಿದ್ದಾಳೆ.,Items,https://audio.jukehost.co.uk/q7DXdml643PdzVb0xWwMag0xbtsmGOoL,hoovu,39,https://audio.jukehost.co.uk/dFSJwOSc4QsRLPkC9tDEdebpLpUjr9i7,putti kaiyalli hoovu hididhukondiddhaale.,Putti is holding a flower in her hand.,https://upcdn.io/kW15bgo/raw/learnkannada/images/flower.png
ಕಪ್ಪೆ,https://i.postimg.cc/FzzHz1Gn/frog.jpg,frog,ಕಪ್ಪೆ ಮದುವೆಗೆ ನಿಮಗೆ ಸ್ವಾಗತ.,Animals,https://audio.jukehost.co.uk/uyahXZtgvyhQXfYR8d9BIwocqby6TGw0,kappe,13,https://audio.jukehost.co.uk/5eGBRKC11iiWDV6A0f6fmYGO0zG1XN7h,kappe maduvege nimage svaagatha.,You're invited to the frog wedding.,https://upcdn.io/kW15bgo/raw/learnkannada/images/frog.png
ಮೇಕೆ,https://i.postimg.cc/05XN3dyg/goat.jpg,goat,ಬಯಲಿನಲ್ಲಿ‌ ಕೆಲವು ಮೇಕೆಗಳು ಮೇಯುತ್ತಿವೆ.,Animals,https://audio.jukehost.co.uk/D11OSeDrUDQso9xMFuw0skSSxRZk3CAm,meke,14,https://audio.jukehost.co.uk/LmpfLs3WkghhS4nXtgwIMJ2WM69X3E64,bayalinalli kelavu meke-galu meyutthive.,Some goats are grazing in the field.,https://upcdn.io/kW15bgo/raw/learnkannada/images/goat.png
ಕೋಳಿ,https://i.postimg.cc/MHLKQxFZ/hen.jpg,hen,"ಇಲ್ಲಿ‌ ನೋಡು, ಮನೆಯ ಮೇಲೆ ಕೋಳಿ ಹಾರುತ್ತಿದೆ.",Animals,https://audio.jukehost.co.uk/EeYUzXClTo5FpLigm4Wt2TKijeESUtDQ,koli,5,https://audio.jukehost.co.uk/vBLvQ2Br5O92xqgfm08Io8TJKxxmtPwq,"illi nodu, maneya mele koli haarutthide.","see over here, a hen is flying over the house.",https://upcdn.io/kW15bgo/raw/learnkannada/images/hen.png
ನೀರಾನೆ,https://i.postimg.cc/vmy8903n/hippopotamus.jpg,hippopotamus,ಸಮುದ್ರದಲ್ಲಿ ನೀರಾನೆಗಳು ವಾಲಿಬಾಲ್ ಆಡುತ್ತಿವೆ.,Animals,https://audio.jukehost.co.uk/2QZwhiPiJFfmvr0QsQcmhWmOKwWhhtep,neerane,15,https://audio.jukehost.co.uk/aHkM8iCifwm1JNWEOIIjsCkKXrQmRcpt,samudradalli neeraane-galu volleyball aadutthive.,Hippopotamuses are playing volleyball in the sea.,https://upcdn.io/kW15bgo/raw/learnkannada/images/hippopotamus.png
ಕುದುರೆ,https://i.postimg.cc/g28knCqd/horse.jpg,horse,ಹುಲ್ಲುಗಾವಲಿನಲ್ಲಿ ಕುದುರೆ ಓಡುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/KOACyZfv94WnV1H8Nm83NySc04y96ceC,kudure,16,https://audio.jukehost.co.uk/JASUOlYoXQQwGUjH13CJtX2aH0pl9Ds4,hullugaavalinalli kudhure odutthide.,A horse is running in the grassland.,https://upcdn.io/kW15bgo/raw/learnkannada/images/horse.png
ಮನೆ,https://i.postimg.cc/yxwFNsjR/house.jpg,house,ನಮ್ಮ ಮನೆ ಎಂದರೆ ನನಗೆ ಬಹಳ ಇಷ್ಟ.,Items,https://audio.jukehost.co.uk/FWMCxjyM0kzKiY5vjTxZSctwE7dCm1Va,mane,45,https://audio.jukehost.co.uk/Hz9poydx7KiyuJBv41g9TYmj6TcQsu2s,namma mane endhare nanage bahala ishta.,I very much like our house.,https://upcdn.io/kW15bgo/raw/learnkannada/images/house.png
ನರಿ,https://i.postimg.cc/NGH0ws14/jackal.jpg,jackal,ನರಿಗಳಿಗೇಕೆ ಕೋಡಿಲ್ಲ?,Animals,https://audio.jukehost.co.uk/4ciyddBDYacPUImf3DoQzxq816JyXBJw,nari,12,https://audio.jukehost.co.uk/rlHknSPpafjf9gx9jIGAcLyRJmHJVDUJ,nari-galigeke kodilla?,Why don't jackals have horns?,https://upcdn.io/kW15bgo/raw/learnkannada/images/fox.png
ಚೊಂಬು,https://i.postimg.cc/wjtfwrK7/jug.jpg,jug,ಅವರು ಮೇಜಿನ ಮೇಲೆ ಚೊಂಬು ಇಟ್ಟಿದ್ದಾರೆ.,Items,https://audio.jukehost.co.uk/jjBd4LPBTjfyYFodHewkwmF7Uqmk9ekn,chombu,54,https://audio.jukehost.co.uk/9rJgIau9IlZZwCEQoweDTH7XHSDFUrra,avaru mejina mele chombu ittiddhaare.,They have kept a jug on the table.,https://upcdn.io/kW15bgo/raw/learnkannada/images/jug.png
ಚಿರತೆ,https://i.postimg.cc/R0TSTwDD/leopard.jpg,leopard,ಚಿರತೆ ಬಹಳ ವೇಗವಾಗಿ ಓಡುತ್ತದೆ.,Animals,https://audio.jukehost.co.uk/agitsJ5ob2ost7tKkkCGtVTfD86PrUBq,chirate,18,https://audio.jukehost.co.uk/LqU8WM6SnZwvD9PapvPyWeXx9NHD6Z6q,chirathe bahala vegavaagi odutthade.,Leopard runs very fast.,https://upcdn.io/kW15bgo/raw/learnkannada/images/leopard.png
ಸಿಂಹ,https://i.postimg.cc/9MFWgr3F/lion.jpg,lion,ಕಾಡಿನ ರಾಜ ಸಿಂಹ.,Animals,https://audio.jukehost.co.uk/Ybyihun4TwcmVouaPonWsAmh0wouXryn,simha,19,https://audio.jukehost.co.uk/Qf0lrSqr49s5GciPt8dIdFyyuXJ8O3Zt,kaadina raaja simha.,Lion is the king of the forest.,https://upcdn.io/kW15bgo/raw/learnkannada/images/lion.png
ಬೀಗ,https://i.postimg.cc/BQ77c0Vr/lock.jpg,lock,ಅವರು ಮನೆಗೆ ಬೀಗ ಹಾಕಿದ್ದಾರೆ.,Items,https://audio.jukehost.co.uk/tydnkpyzuY5oKM7NrPM8EEeng4cw4xSO,beega,41,https://audio.jukehost.co.uk/5qBr0k8WiS0M3sEkKkLEGA3m1ZFgm8xZ,avaru manege beega haakiddaare.,They have locked the house.,https://upcdn.io/kW15bgo/raw/learnkannada/images/lock.png
ಕೋತಿ,https://i.postimg.cc/pLfR2DRL/monkey.jpg,monkey,ಕೋತಿ ಮರದಿಂದ ಮರಕ್ಕೆ ಹಾರುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/TzP16cVrbjqJ5d2exo5dWGOsbndav78U,kothi,20,https://audio.jukehost.co.uk/vSXJdVnsHzzZT3FRVWwbK9VrrSPEeHRp,kothi maradinda marakke haarutthide.,A monkey is jumping from tree to tree.,https://upcdn.io/kW15bgo/raw/learnkannada/images/monkey.png
ನವಿಲು,https://i.postimg.cc/tC4mxT2d/peacock.jpg,peacock,ನವಿಲು ಕಾಡಿನಲ್ಲಿ ರೆಕ್ಕೆ ಬಿಚ್ಚಿ ಕುಣಿಯುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/ZwEsCOYOIJAPblyej0lCIVWqOfFwk95Y,navilu,31,https://audio.jukehost.co.uk/zRMqY1J1IyJtdFKFMDGXK2I2GNocEV4Z,navilu kaadinalli rekke bicchi kuniyutthide.,Peacock is dancing in the forest by opening it's feathers.,https://upcdn.io/kW15bgo/raw/learnkannada/images/peacock.png
ಹಂದಿ,https://i.postimg.cc/c1zsTxF0/pig.jpg,pig,ಹಂದಿ ಬೀದಿಯಲ್ಲಿ ನಡೆಯುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/Fwz3znVQ0OCv4qyw4CHacBZmCXmS16Zs,handi,21,https://audio.jukehost.co.uk/kY7Ropk3UJN1VMjceCslYDk7FMKnLvnI,handi beedhiyalli nadeyutthide.,A pig is walking in the street.,https://upcdn.io/kW15bgo/raw/learnkannada/images/pig.png
ತಟ್ಟೆ,https://i.postimg.cc/HW2hn54s/plate.jpg,plate,ಪುಟ್ಟಿ ತಟ್ಟೆ ಹಿಡಿದುಕೊಂಡು ಕಾಯುತ್ತಿದ್ದಾಳೆ.,Items,https://audio.jukehost.co.uk/QhgXDGWTcwTuHgm4l1YMrZzDhbputosb,thatte,53,https://audio.jukehost.co.uk/02VRdCuYxqtWMCXFLgwIAaOwd5mv8Zws,putti thatte hididhukondu kaayutthiddaale.,Putti is holding a plate and waiting.,https://upcdn.io/kW15bgo/raw/learnkannada/images/plate.png
ನಾಯಿಮರಿ,https://i.postimg.cc/zXRqcsQW/puppy.jpg,puppy,ನಾಯಿಮರಿ ನೋಡಲು ತುಂಬಾ ಚೆನ್ನಾಗಿರುತ್ತದೆ.,Animals,https://audio.jukehost.co.uk/o82rjdqDBNXYgPK3wMDVnM10Nq73OMvb,naayimari,22,https://audio.jukehost.co.uk/1JXu5Qma5rPjMIkRtwwqXiMNXDfNJvHs,naayimari nodalu thumbaa chennaagirutthade.,Puppies are very beautiful to look at.,https://upcdn.io/kW15bgo/raw/learnkannada/images/puppy.png
ಮೊಲ,https://i.postimg.cc/T3MTMk8s/rabbit.jpg,rabbit,"ಅಲ್ಲಿ ನೋಡು, ಮೊಲ ಕ್ಯಾರೆಟ್ ತಿನ್ನುತ್ತಿದೆ.",Animals,https://audio.jukehost.co.uk/eVJ0Akkgaix1pJAWhcNmth6d526F1Hdy,mola,23,https://audio.jukehost.co.uk/h6wXyn58oE6V2SwLFPOKr6j0Hh2yBiYB,"alli nodu, mola carrot tinnutthide.","See over there, a rabbit is eating a carrot.",https://upcdn.io/kW15bgo/raw/learnkannada/images/rabbit.png
ಘೇಂಡಾಮೃಗ,https://i.postimg.cc/Jn2WTxcP/rhino.jpg,rhino,ಘೇಂಡಾಮೃಗ ಕೊಳದ ಪಕ್ಕ ನಿಂತಿದೆ.,Animals,https://audio.jukehost.co.uk/UjFu1Q9IAqFuCWsXzJHeBa3m8mUOfwJL,gendamruga,24,https://audio.jukehost.co.uk/Jw91DEqaXq8x3uZT8IP2QAHOOihKktTm,gendamruga kolada pakka ninthide.,A rhino is walking beside the lake.,https://upcdn.io/kW15bgo/raw/learnkannada/images/rhino.png
ಹುಂಜ,https://i.postimg.cc/LhdFSsWP/rooster.jpg,rooster,ಹುಂಜಗಳು ಸಿನೆಮಾ ನೋಡಲು ಬಂದಿವೆ.,Animals,https://audio.jukehost.co.uk/37L3Bf0dA4yAkOoc4BRQXPhjmLPxIL6V,hunja,25,https://audio.jukehost.co.uk/At9FmhqesHoHz2ErLRi13IjZ1I71tyuO,hunja-galu cinema nodalu bandive.,Roosters have come here to watch cinema.,https://upcdn.io/kW15bgo/raw/learnkannada/images/rooster.png
ಕತ್ತರಿ,https://i.postimg.cc/76rWGnWb/scissor.jpg,scissor,ಕತ್ತರಿ ಅಡುಗೆಮನೆಯಲ್ಲಿ ಇದೆ.,Items,https://audio.jukehost.co.uk/At5HkHmEsnC7Q41vZh4bEFEddkZyedB2,kattari,42,https://audio.jukehost.co.uk/Bh3ofMzwBUwu9cK9R88kCXeGGjaxlzH5,katthari adugemaneyalli ide.,The scissor is in the kitchen.,https://upcdn.io/kW15bgo/raw/learnkannada/images/scissor.png
ಕಪ್ಪೆಚಿಪ್ಪು,https://i.postimg.cc/MHdPL2Kj/seashell.jpg,seashell,ಕಪ್ಪೆಚಿಪ್ಪು ಸಮುದ್ರದ ದಡದಲ್ಲಿ ಸಿಗುತ್ತದೆ.,Items,https://audio.jukehost.co.uk/bj23VePSGNCfTO5r3WsBr2cvzy7Mxwkp,kappechippu,43,https://audio.jukehost.co.uk/zQyB5ngYUHaU8ZaAorSYBJQXkn5QmrWI,kappechippu samudhradha dhadadhalli sigutthadhe.,Seashells are found on the beach.,https://upcdn.io/kW15bgo/raw/learnkannada/images/seashell.png
ತಿಮಿಂಗಿಲ,https://i.postimg.cc/qq6HWK10/shark.jpg,shark,ತಿಮಿಂಗಿಲಗಳು ಸಮುದ್ರದ ಅಡಿಯಲ್ಲಿ ಖುಷಿಯಾಗಿವೆ.,Animals,https://audio.jukehost.co.uk/BHRzJsiW1S3FtelcGXwLvAnEltv5rHGX,timingila,26,https://audio.jukehost.co.uk/3I8Ppl9qQHaNr0K2LsQReGJHg0RnjesQ,timingilagalu samdurada adiyalli khushiyaagive.,Sharks are happy under the sea.,https://upcdn.io/kW15bgo/raw/learnkannada/images/shark.png
ಕುರಿ,https://i.postimg.cc/RCW3vb8C/sheep.jpg,sheep,ಕುರಿಗಳು ನಮಗೆ ಉಣ್ಣೆಯನ್ನು ನೀಡುತ್ತವೆ.,Animals,https://audio.jukehost.co.uk/9cCZ6SI0PT1dAUyze4Vi11qzl8gVtlOV,kuri,27,https://audio.jukehost.co.uk/NAuEix5I2xJjSjLGBtPfg5wFi70qmtH7,kuri-galu namage unneyannu needutthave.,Sheep gives us wool.,https://upcdn.io/kW15bgo/raw/learnkannada/images/sheep.png
ಹಡಗು,https://i.postimg.cc/SRy1VNqh/ship.jpg,ship,ಬಂದರಿನಲ್ಲಿ ಹಡಗು ನಿಂತಿದೆ.,Items,https://audio.jukehost.co.uk/xWDjZPz5pKOt0FZqjH4TFCisBBnm0NHy,hadagu,33,https://audio.jukehost.co.uk/yUhMuTlXMkXolS0OOSKxRGGT4VSUKfGQ,bandharinalli hadagu ninthide.,A ship is parked in the port.,https://upcdn.io/kW15bgo/raw/learnkannada/images/ship.png
ಕನ್ನಡಕ,https://i.postimg.cc/pV7QCJvd/spectacles.jpg,spectacles,ಅಜ್ಜ ಕನ್ನಡಕ ಹಾಕಿಕೊಂಡು ದಿನಪತ್ರಿಕೆ ಓದುತ್ತಿದ್ದಾರೆ.,Items,https://audio.jukehost.co.uk/lsqnOte5yla980f7m6FGEgmuMMekstDJ,kannadaka,36,https://audio.jukehost.co.uk/EN7yMMSJA7C3QqTHD3tHR7yJp43dugkO,ajja kannadaka haakikondu dhinapathrike odhutthiddaare.,Grandpa is reading the book wearing spectacles.,https://upcdn.io/kW15bgo/raw/learnkannada/images/spectacles.png
ಚಮಚ,https://i.postimg.cc/8P6R0fkm/spoon.jpg,spoon,ಪುಟ್ಟ ಚಮಚದಿಂದ ಊಟ ಮಾಡುತ್ತಿದ್ದಾನೆ.,Items,https://audio.jukehost.co.uk/9L8IWTrFcXWf5nvQTzeSDmngv8yJqEdN,chamacha,40,https://audio.jukehost.co.uk/V1I20vnmWacXVGgBRVPypq9EL3FsV3dn,putta chamachadinda oota maadutthiddaane.,Putta is eating with a spoon.,https://upcdn.io/kW15bgo/raw/learnkannada/images/spoon.png
ಮೇಜು,https://i.postimg.cc/ZnpYPHTg/table.jpg,table,ಈ ಮೇಜು ನೂರು ವರ್ಷ ಹಳೆಯದು.,Items,https://audio.jukehost.co.uk/3ob4O244qyN4dHf8CwiUmSzzkVA3qPnB,meju,50,https://audio.jukehost.co.uk/yD7qk7vgIYNCFpvaDXmp79ozBDmOwyT6,ee meju nooru varsha haleyadhu.,This table is a hundred years old.,https://upcdn.io/kW15bgo/raw/learnkannada/images/table.png
ಹುಲಿ,https://i.postimg.cc/c4Yrnt0V/tiger.jpg,tiger,ಹುಲಿ ಕಾಡಿನಲ್ಲಿ ತಿರುಗುತ್ತಿದೆ.,Animals,https://audio.jukehost.co.uk/EVfcaeYD9khUZBLHIjEEYSvpNqt69k6q,huli,28,https://audio.jukehost.co.uk/4RuuVODHpRyAD6K4tfDhFwYtJ1kI8x2f,huli kaadinalli thirugutthide.,A tiger is roaming in the forest.,https://upcdn.io/kW15bgo/raw/learnkannada/images/tiger.png
